rad	period	x err	y err
0.641349	1.619802	0.05	0.0020833
0.673566	1.631865	0.05	0.0020833
0.677174611	1.63	0.05	0.0020833
0.677991	1.642606	0.05	0.0020833
0.687439	1.655488	0.05	0.0020833
0.701152972	1.65	0.05	0.0020833
0.712478	1.641358	0.05	0.0020833
0.716464558	1.64	0.05	0.0020833
0.728401	1.643435	0.05	0.0020833
0.732114737	1.65	0.05	0.0020833
0.752002398	1.65	0.05	0.0020833
0.778745707	1.68	0.05	0.0020833
0.803173314	1.66	0.05	0.0020833
0.832342803	1.67	0.05	0.0020833
0.854253997	1.69	0.05	0.0020833
0.883791052	1.67	0.05	0.0020833
0.924874671	1.68	0.05	0.0020833
0.974698718	1.69	0.05	0.0020833
1.012128494	1.71	0.05	0.0020833
1.056353529	1.72	0.05	0.0020833
1.116339746	1.7	0.05	0.0020833






