time	rad	xerr	yerr
0	-0.503970698	0.002083	0.02830
0.8	0.501976834	0.002083	0.02830
1.56666	-0.493942038	0.002083	0.02830
2.36666	0.500127658	0.002083	0.02830
3.16666	-0.486732085	0.002083	0.02830
3.93333	0.485866052	0.002083	0.02830
4.73333	-0.475174517	0.002083	0.02830
5.5	0.478245074	0.002083	0.02830
6.3	-0.467969799	0.002083	0.02830
7.06666	0.469512495	0.002083	0.02830
7.83333	-0.460786025	0.002083	0.02830
8.63333	0.454850162	0.002083	0.02830
9.4	-0.452069853	0.002083	0.02830
10.2	0.448942747	0.002083	0.02830
10.96666	-0.437791317	0.002083	0.02830
11.73333	0.443301495	0.002083	0.02830
12.53333	-0.429029766	0.002083	0.02830
13.26666	0.42826409	0.002083	0.02830
14.06666	-0.429277603	0.002083	0.02830
14.86666	0.425261601	0.002083	0.02830
15.63333	-0.415320208	0.002083	0.02830
16.4	0.41822426	0.002083	0.02830
17.2	-0.410384418	0.002083	0.02830
17.96666	0.408310443	0.002083	0.02830
18.73333	-0.407831001	0.002083	0.02830
19.53333	0.403160152	0.002083	0.02830
20.3	-0.401498948	0.002083	0.02830
21.1	0.393279322	0.002083	0.02830
21.86666	-0.394791649	0.002083	0.02830
22.63333	0.390250129	0.002083	0.02830
23.4	-0.388318224	0.002083	0.02830
24.2	0.387213431	0.002083	0.02830
24.96666	-0.37690901	0.002083	0.02830
25.73333	0.375640155	0.002083	0.02830
26.5	-0.369721745	0.002083	0.02830
27.3	0.368348869	0.002083	0.02830
28.06666	-0.373903553	0.002083	0.02830
28.8	0.363393008	0.002083	0.02830
29.63333	-0.369721745	0.002083	0.02830
30.4	0.363393008	0.002083	0.02830
31.16666	-0.356500879	0.002083	0.02830
31.93333	0.351855686	0.002083	0.02830
32.7	-0.345191148	0.002083	0.02830
33.5	0.344568065	0.002083	0.02830
34.26666	-0.345433748	0.002083	0.02830
35.03333	0.35607624	0.002083	0.02830
35.8	-0.336064823	0.002083	0.02830
